coverage	replicate	biological_class	cellular_fraction	relocate2_detection_recall	relocate2_status_accuracy_given_detected	relocate3-blat-bwa_detection_recall	relocate3-blat-bwa_status_accuracy_given_detected	relocate3-blat-bwaaln_detection_recall	relocate3-blat-bwaaln_status_accuracy_given_detected	relocate3-bowtie2-bwa_detection_recall	relocate3-bowtie2-bwa_status_accuracy_given_detected	relocate3-bwa-bwa_detection_recall	relocate3-bwa-bwa_status_accuracy_given_detected	relocate3-minimap2-minimap2_detection_recall	relocate3-minimap2-minimap2_status_accuracy_given_detected	relocate2_minus_relocate3-blat-bwa_recall	relocate2_minus_relocate3-blat-bwaaln_recall	relocate2_minus_relocate3-bowtie2-bwa_recall	relocate2_minus_relocate3-bwa-bwa_recall	relocate2_minus_relocate3-minimap2-minimap2_recall	relocate3-blat-bwa_minus_relocate3-blat-bwaaln_recall	relocate3-blat-bwa_minus_relocate3-bowtie2-bwa_recall	relocate3-blat-bwa_minus_relocate3-bwa-bwa_recall	relocate3-blat-bwa_minus_relocate3-minimap2-minimap2_recall	relocate3-blat-bwaaln_minus_relocate3-bowtie2-bwa_recall	relocate3-blat-bwaaln_minus_relocate3-bwa-bwa_recall	relocate3-blat-bwaaln_minus_relocate3-minimap2-minimap2_recall	relocate3-bowtie2-bwa_minus_relocate3-bwa-bwa_recall	relocate3-bowtie2-bwa_minus_relocate3-minimap2-minimap2_recall	relocate3-bwa-bwa_minus_relocate3-minimap2-minimap2_recall
15	2	heterozygous	1.0	0.93	0.5806451612903226	0.91	0.6813186813186813	0.92	0.6413043478260869	0.91	0.6813186813186813	0.91	0.6923076923076923	0.91	0.7142857142857143	0.02	0.01	0.02	0.02	0.02	-0.01	0	0	0	0.01	0.01	0.01	0	0	0
15	2	homozygous	1.0	0.96	0.9895833333333334	0.97	0.979381443298969	0.97	0.979381443298969	0.97	0.979381443298969	0.97	0.979381443298969	0.97	0.979381443298969	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	0	0	0	0	0	0	0	0
15	2	somatic_insertion	0.1	0.14	0.07142857142857142	0.09	0.1111111111111111	0.09	0.1111111111111111	0.09	0.1111111111111111	0.09	0.1111111111111111	0.08	0.125	0.05	0.05	0.05	0.05	0.06	0	0	0	0.01	0	0	0.01	0	0.01	0.01
15	2	somatic_insertion	0.2	0.53	0.07547169811320754	0.38	0.05263157894736842	0.43	0.06976744186046512	0.39	0.05128205128205128	0.37	0.05405405405405406	0.34	0.058823529411764705	0.15	0.1	0.14	0.16	0.19	-0.05	-0.01	0.01	0.04	0.04	0.06	0.09	0.02	0.05	0.03
15	2	somatic_insertion	0.4	0.76	0.02631578947368421	0.67	0.029850746268656716	0.71	0.04225352112676056	0.66	0.030303030303030304	0.67	0.029850746268656716	0.65	0.046153846153846156	0.09	0.05	0.1	0.09	0.11	-0.04	0.01	0	0.02	0.05	0.04	0.06	-0.01	0.01	0.02
15	3	heterozygous	1.0	0.92	0.5108695652173914	0.91	0.7362637362637363	0.92	0.6086956521739131	0.91	0.7362637362637363	0.91	0.7362637362637363	0.91	0.7582417582417582	0.01	0	0.01	0.01	0.01	-0.01	0	0	0	0.01	0.01	0.01	0	0	0
15	3	homozygous	1.0	0.96	0.9895833333333334	0.96	0.9895833333333334	0.96	0.9895833333333334	0.96	0.9895833333333334	0.96	0.9895833333333334	0.96	0.9895833333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	3	somatic_insertion	0.1	0.2	0.2	0.1	0.3	0.13	0.23076923076923078	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.07	0.1	0.1	0.1	-0.03	0	0	0	0.03	0.03	0.03	0	0	0
15	3	somatic_insertion	0.2	0.48	0.041666666666666664	0.35	0.02857142857142857	0.38	0.02631578947368421	0.34	0.029411764705882353	0.35	0.02857142857142857	0.33	0.030303030303030304	0.13	0.1	0.14	0.13	0.15	-0.03	0.01	0	0.02	0.04	0.03	0.05	-0.01	0.01	0.02
15	3	somatic_insertion	0.4	0.73	0.0136986301369863	0.6	0.03333333333333333	0.67	0.029850746268656716	0.6	0.03333333333333333	0.6	0.03333333333333333	0.58	0.034482758620689655	0.13	0.06	0.13	0.13	0.15	-0.07	0	0	0.02	0.07	0.07	0.09	0	0.02	0.02
